S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,Founder1 Name,Founder2 Name,Founder3 Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
1647,VI,Transport on Demand,2015,Transport on Demand is an online logistics platform that offers intra-city movement services for the transportation of goods.,Industrials,Industrial goods and services,Hyperlocal and Logistics,Not required,B2B2C,Delivery Services ,,Transportation,Ahmedabad,Gujarat,Angel investment,Delivery services and logistics,,,,,,2,Yash vasnt,Dhruv taneja,,,,,,,,,,42583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,VI,Truckola,2015,a technology focused cargo transportation service company that is revolutionizing the way transportation works. ,Industrials,Industrial goods and services,Hyperlocal and Logistics,Not required,B2C,Improve Logistics,,Transportation,Mumbai,Maharashtra,Angel investment,Delivery services and logistics,,,,,,2,Raghav Himatsingka,Keshav Himatsngka,,,,,,,,,,42552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,VI,TruckSumo.com,,Hire a truck online,Industrials,Industrial goods and services,Hyperlocal and Logistics,Not required,B2C,Delivery Services ,,Transportation,Hyderabad,Andhra Pradesh,Angel investment,Delivery services and logistics,,,,,,,,,,,,,,,,,,42036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,VI,StalkBuyLove,2012,"A one-click ""en Vogue"" destination. Get your daily dose with the trendiest styles and best fashion inspiration updated on our fashion portal every day. We provide unprecedented access to the hottest and handpicked looks of the current season; looks that are inspired from celebrities, European catwalks and high-end luxury labels. ",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,Not required,B2C,Fashion and Lifestyle,,Shopping,New Delhi,,,Fashion,,,,,,1,Tushar Ahluwalia,,,,,,,,,,,42614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,VI,Leaf Wearables,,"Production and online sale Wearable Devices - Personal Security, Alarm for kids",Technology,Technology Hardware & Equipment,Consumer Products and Services,Not required,B2C,Wearable Gadgets and Devices,,Safety for Kids,New Delhi,,Angel investment,Recreational Products,,,,,,,,,,,,,,,,,,42339,6,Angel Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,VI,Online Prasad,2012," OnlinePrasad.com aims to bring people closer to their faith. We do this by offering and delivering Prasad to you from the temple of your choice. Thus, using technology to make life convenient for you. Online delivery of religious goods and products",Consumer_goods,personal and household goods,Consumer Products and Services,Not required,B2C,Religious goods,,Religious Services,Gurgaon,Haryana,Angel investment,Specialized Consumer Services,,,,,,,Gunjna Mall,,,,,,,,,,,41913,,Angel Forum,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,VI,NativeSpecial.com,2014,an online venture with a vision to make native specialties from each place to be accessible online for the wider audience to enjoy some of their all-time favourite specialties. Owned and operated by group of people who have given up their jobs Abroad to realize their dream of bringing the native specials to offline retail operations,Consumer_goods,Food and Beverage,Consumer Products and Services,Not required,B2C,Food and Beverage,,Regional Speciality,Karur,Tamil Nadu,Angel investment,Food Products,,,,,,,Baskaran V,,,,,,,,,,,42736,,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,VI,TimeSaverz,,Timesaverz.com is a mobile first marketplace connecting home service seekers with home service providers.,Consumer_services,Retail,Consumer Products and Services,Not required,B2C,Home Services,,Professional Hiring,Mumbai,Maharashtra,Angel investment,Home Improvement Retailers,,,,,,2,,,,,,,,,,,,41913,5,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,VI,Thatspersonal,2012,ThatsPersonal is an online platform that enables its users to purchase personal adult products through its platform.,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,Not required,B2C,Shopping,,Personal Care Products,Mumbai,Maharashtra,Angel investment,Fashion,,,,,,,,,,,,,,,,,,41699,6,Angel Investors ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,VI,NewsDistill,," NewsDistill is a news and media platform that aggregates news from various portals including newspapers, television channels, RSS feeds and social media. Online news aggregator for local area",Consumer_services,Media,"Media, Advertising and Gaming",Not required,B2C,Media and entertainment,,News,Hyderabad,Andhra Pradesh,Angel investment,Media and entertainment,,,,,,,Narshimha Reddy,,,,,,,,,,,42614,3,Angel Investors,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,VI,Roast,2016,"This page contains the best roasts from everywhere, and features the most awesome ones picked from the Roast app (an app for smart people with smartphones). The page will surely entertain you and enhance that punny and quirky side of yours.",Technology,Software & Computer Services,Social Platforms,Not required,B2C,Media and entertainment,,Mobile Application,New Delhi,,Angel investment,Connect People for Social Activities,,,,,,,,,,,,,,,,,,42491,,Angel Forum,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,VI,Zonnett,,Maintainence and services of cars at home and workplace,Consumer_services,Retail,Consumer Products and Services,Not required,B2C,Maintainance and services,,Mobile Application,Mumbai,Maharashtra,Angel investment,Automobiles & Auto Parts services,,,,,,,,,,,,,,,,,,42370,3,Angel Investors,2.31,,,,42461,,Angel Investors,,,,,,,,,,,,,,,,,,,,,
1659,VI,Pipa+Bella,2013,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,Not required,B2C,Fashion and Lifestyle,,Jewellery sale and delivery,Mumbai,Maharashtra,VC Funded,Fashion,,,,,,,Shuchi Pandya,,,,,,,,,,,42186,4,Angel Investors,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,VI,Touchkin,2015,Predictive care startup using AI chatbots and machine learning for behavioural health support,Healthcare,Healthcare,Health-Tech,,B2B,Healthcare,,Innovation,Bengaluru,Karnataka,Angel investment,Healthcare Analytics and Software,,,,,,,Ramakant vempanti,Jo Aggarwal,,,,,,,,,,42430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,VI,Rentsher,2012,P2P Online Rentals for Anything & Everything RentSher is online rentals startup based on sharing economy / collaborative consumption model. Anyone can upload any product to rent out and other can rent in. RentSher manages payment as well as delivery.,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Borrow and rent goods and products,,Industrial Automation,Bengaluru,Karnataka,Angel investment,Borrow and rent goods and products,,,,,,3,Karandeep Singh Vohra,Abhijit Shaha,Harsh Dhand,,,,,,,,,42401,6,Angel Investors,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,VI,PurpleDocs,2010,"PurpleDocs is a Healthcare records management company with a cloud based software solution that is user friendly, saves time and simple to use. One can easily access records, scans, MRI, X-rays, reports, from anywhere. ",Technology,Software & Computer Services,Software and Internet Services,Not required,B2B,Cloud Computing,,Healthcare Development,,Gujarat,Angel investment,Cloud Infrastructure,,,,,,1,Deepak Gupta,,,,,,,,,,,42583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,VI,Velvetcase,,"Velvetcase is a Online marketplace for curated jewellery,",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Jewellery sale and delivery,,Fashion and Lifestyle,Mumbai,Maharashtra,VC Funded,Fashion,,,,,,2,Kapil Hetamsaria,, Runit Shah,,,,,,,,,42552,,Angel Forum,6.4,,,,42552,,Venture Capitalist,,,,,,,,,,,,,,,,,,,,,
1664,VI,Ragtagger Lifestyle,,Lingeirie and women wear online shopping,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,Not required,B2C,Inner Wear,,Fashion and Lifestyle,Bengaluru,Karnataka,Angel investment,Fashion,,,,,,,,,,,,,,,,,,42795,,Anel Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,VI,PinkBlue,2014,"A online baby store with cute kid products like baby dresses, baby headbands, shoes, ethnic wear, kids clothing & more in India.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,Not required,B2C,Childcare Products,,Fashion and Lifestyle,Jaipur,Rajasthan,Angel investment,"Toys, baby products and Kids fashion",,,,,,,,,,,,,,,,,,42430,8,Angel Investors,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,VI,Medinfi Healthcare,2014,"Mobile Application is hyper-local discovery platform for verified information on nearby doctors & hospitals. Users can call, share and save the clinics as per their needs. The company also has fully integrated technology products for sourcing and auditing content from various sources.",Healthcare,Healthcare,Health-Tech,Not required,B2C,Healthcare,,Doctor and Diagnostics,Bengaluru,Karnataka,Angel investment,Telemedicine and Online health care platforms,,,,,,2,Ravishankar Mishra,Himani Mishra,,,,,,,,,,42401,1,Angel Investors,1,,,,42583,Angel Investors,1.2,,,,,,,,,,,,,,,,,,,,,
1667,VI,TestBook,2013,Testbook is an affordable platform for faster and efficient exam preparation.,Technology,Software & Computer Services,Edu-Tech,Not required,B2C,Online Test Preparation,,Coaching and Tutoring,Mumbai,Maharashtra,Angel investment,Training for entrance exams,,,,,,4,Asutosh Kumar,Abhishek Sagar,Narendra Agrawal,,,,,,,,,41913,,Venture Capitalist,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,VI,TimeMyTask,,. Our business idea supports this vision by offering reliable and affordable services for your home including functional and well-designed range of cleaning and other services fulfilled by trained and skilled workers (called 'taskers') which go above and beyond on every job.We strive to improve the quality of cleaning services in India while providing dignified work and professional training opportunities to the individuals who clean our houses everyday.,Consumer_services,Retail,Consumer Products and Services,Not required,B2C,Home Services,,Cleaners,Mumbai,Maharashtra,Angel investment,Home Improvement Retailers,,,,,,2,Mohit Verma ,Saurav Suman,,,,,,,,,,42401,,Angel Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,VI,Realbox,2014,Realbox Data Analytics uses business intelligence and predictive analysis tools to help offline businesses increase revenues.,Technology,Software & Computer Services,Software and Internet Services,Not required,B2B,Data Analytics and Artificial Intelligence to solve industrial problems,,Buisness Intelligence,Noida,Uttar Pradesh,Angel investment,Big Data Analytics and Machine learning,,,,,,,,,,,,,,,,,,42644,,Angel Forum,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,VI,Uniphore Software Systems,2008,Uniphore Software Solutions Pvt. Ltd. provides voice and data technologies to transform mobile phone into an enterprise-service delivery,Technology,Software & Computer Services,Software and Internet Services,Not required,B2B,Data Analytics and Artificial Intelligence to solve industrial problems,,Buisness Intelligence,Chennai,Tamil Nadu,VC Funded,Big Data Analytics and Machine learning,,,,,,2,Umesh Sachdev,Ravi Sarogi,,,,,,,,,,41699,,Angel Forum,,,,,42644,,Venture Capitalist,,,,,,,,,,,,,,,,,,,,,
1671,VI,SmartVizX,2014,We are creators of interactive virtual environments. We transform elements of the real world into a virtual one and a virtual world into a real one. We are the creators of expansive environments that are interactive and futuristic while also stimulating potential users in to experiencing arenas and spaces that haven't even been physically built yet.,Technology,Software & Computer Services,Software and Internet Services,Not required,B2C,Virtual Reality,,,Noida,Uttar Pradesh,,Software services for consumers,,,,,,1,Gautam Tiwari,,,,,,,,,,,42430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,VI,Vertuals,,A one of its kind agency focused entirely on video driven communication and content creation.,Technology,Software & Computer Services,"Media, Advertising and Gaming",Not required,B2B,Video Making,,,Mumbai,Maharashtra,Angel investment,Animation,,,,,,,,,,,,,,,,,,42430,1,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,VI,Little Black Book,2013,Online website and mobile application of city travel guide,Consumer_services,Travel and Leisure,Social Platforms,,B2C,Travel guide,,,New Delhi,,VC Funded,Website for information,,,,,,,,,,,,,,,,,,42156,5,Angel Investors,1,,,,42491,,Angel Forum,,,,,,,,,,,,,,,,,,,,,
1674,VI,Vahdam Teas,2015,Garden Fresh Teas Sourced Direct from Plantations & Delivered Worldwide Direct from Source,Consumer_goods,Food and Beverage,Consumer Products and Services,Not required,B2C,Tea Products,,,New Delhi,,Angel investment,Food Products,,,,,,1,Bala Sarda,,,,,,,,,,,42736,,Angel Forum,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,VI,Omnify,,Software delivers web-based Product Lifecycle Management (PLM) solutions that enable your organization to adopt an enterprise PLM solution at a fraction of the time and cost of traditional solutions.. The Empower PLM system can address the needs of manufacturers from start-ups to thousands of users with an easy to use and quick to implement system.,Technology,Software & Computer Services,Software and Internet Services,Not required,B2B,Buisness consultancy,,,Bengaluru,Karnataka,Angel investment,Internet and software development,,,,,,,,,,,,,,,,,,42826,3,Angel Investors,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,VI,Unlaze,,"Unlaze develops a social networking application that connects users with common interests. It helps users find new people to do new things with, such as make friends, play a sport, travel together, jam, and even find someone to dance with",Technology,Software & Computer Services,Social Platforms,,B2B,Meet New People,,,Gurgaon,Haryana,Angel investment,Connect People for Social Activities,,,,,,,,,,,,,,,,,,42401,2,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,VI,Repaireasy,2013,"Repaireasy is a Gadget and mobile phone repair platform Now get your gadgets like Smartphones, Tablets, Laptops and Computers repaired with Free Pick and Drop and Warranty on all parts and workmanship for upto a year!",Consumer_services,Retail,Consumer Products and Services,Not required,B2C,Repair and service Mobile Laptop,,,Pune,Maharashtra,Angel investment,Servicing,,,,,,2,Rishi Wahi,Naveen Goyal,,,,,,,,,,42552,,Angel Investors,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,VI,What’s On Rent,2015,"We are the rent people. When we say that, we mean it. We have hired laptops for the team, bikes for market survey, office furniture and the little knick knacks of business. We are here to introduce you to the comfortable world of renting.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,Not required,B2C,Borrow and rent goods and products,,,Bengaluru,Karnataka,Angel investment,Buy and Sale goods and products,,,,,,3,Shreyans Shrimali,Sulab Jain,Bharat Goyal,,,,,,,,,42370,4,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,VI,MyCuteOffice,2014,"My Cute Office has become a go to place for Entrepreneurs to find a space to work from at the lowest possible cost. My Cute Office helps start-ups, professionals and freelancers get their first offices without any upfront cost by utilizing unused space of large companies.  A marketplace for sharing vacant work desks, offices, studios and meeting facilities. MCO allows businesses to rent spaces on hourly, daily or monthly basis.",Industrials,Construction and materials,Real Estate,,B2C,Rent of shops and workplace,,,Mumbai,Maharashtra,Angel investment,"Buy , Rent and Sell Property",,,,,,,Abhishek Barari,,,,,,,,,,,42095,,Angel Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,VI,MCaffeine,,"Production and sale of personal care products, Caffeine infused personal care brand.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,Not required,B2C,Personal Care Products,,,Bengaluru,Karnataka,Angel investment,Fashion,,,,,,,,,,,,,,,,,,42705,5,Angel Investors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,VI,Poshtick,2016,Poshtick is a health and wellness startup,Healthcare,Healthcare,Health-Tech,Not required,B2C,Personal Care,,,Noida,Uttar Pradesh,Angel investment,Fitness & Wellness,,,,,,1,Pranav Sharma,,,,,,,,,,,42614,2,Angel Investors,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,VI,Mswipe Technologies,2011,"Secure mobile POS solution that works with smartphones, tablets, computers, and links to bank account. Mobile swiper is the only solution which enables feature phones to be used as a mobile POS today.",Financials,Financial services,Fin-Tech and Payments,Not required,B2C,Payment Solutions,,,Mumbai,Maharashtra,VC Funded,Payments and Wallet,,,,,,,Manish Patel,,,,,,,,,,,42186,,Venture Capitalist,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
